image,caption,gallery
Cuba_Mainbar_Camaguey_001.jpg,"Sunset illuminates a woman walking toward the Plaza de los Trabajadores, Camagüey, Cuba. Sunday June 26, 2016",camaguey
Cuba_Mainbar_Camaguey_002.jpg,"Men play chess under a portrait of revolutionary Che Guevara in Camagüey. Cubans have long placed among some of the world's best players. Saturday June 25, 2016.",camaguey
Cuba_Mainbar_Camaguey_003.jpg,"A family holds their littlest up to get a better view of a live band playing during San Juan Camagueyano, an annual summer festival in Camagüey, Cuba. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_004.jpg,"Dance and musical performances end the night for the San Juan Camagüeyano festival celebrated in late June every year. Saturday June 25, 2016.",camaguey
Cuba_Mainbar_Camaguey_005.jpg,"A taxi driver behind the wheel of a classic Pontiac Silver Streak in Camagüey, Cuba. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_006.jpg,"Walkers in Camagüey province use an umbrella to shield themselves from the intense summer sun. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_007.jpg,"La Iglesia San Juan de Dios glows in the evening light in Camagüey. The church adjoins a museum, formerly a hospital. The plaza below has great historical significance as the place where Cuban war hero Ignacio Agramonte's body was brought after he was killed fighting for independence from Spain in 1873. Saturday June 25, 2016.",camaguey
Cuba_Mainbar_Camaguey_008.jpg,"The streets in Camagüey wind in maze-like patterns with bright colors and narrow alleys. Saturday June 25, 2016.",camaguey
Cuba_Mainbar_Camaguey_009.jpg,"Anthony Alejandro, 3, peers out of his doorway in Camagüey, where people seem to live their lives on the sidewalk with doors open, visiting and hanging out with each other. Saturday June 25, 2016.",camaguey
Cuba_Mainbar_Camaguey_010.jpg,"A carnaval drummer walks down República street to participate in the annual San Juan Camagüeyano summer festival in Camagüey, Cuba Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_011.jpg,"A fruit and vegetable vendor rolls door-to-door around the winding streets of Camagüey Saturday June 25, 2016.",camaguey
Cuba_Mainbar_Camaguey_012.jpg,"Locals hang out on the sidewalk playing dominoes and drinking beer in Camagüey, Cuba. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_013.jpg,"Ajiaco, a Cuban stew, is boiled in giant pots set over flames just off the sidewalk in Camagüey, Cuba. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_014.jpg,"The Necrópolis de Camagüey looks like a sea of bleached-white tombs with scattered ruins under the hot sun. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_015.jpg,"Mourners arrive for a funeral at the Necrópolis de Camagüey. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_016.jpg,"Graffiti celebrates Fidel Castro, the 90-year-old revolutionary leader, in Camagüey, Cuba. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_017.jpg,"Juan Díaz Salazar is the first to board a train from Camagüey to the Cuban city of Florida. Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_018.jpg,"The streets of Camagüey, Cuba are brilliant colors, set off by a red umbrella to keep the sun away. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_019.jpg,"Families often fit as many extra riders as they can on bicycles in Camagüey, Cuba. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_020.jpg,"Police and army officers take a break at their outpost in the center of town in Camagüey, Cuba. Sunday June 26, 2016.",camaguey
Cuba_Mainbar_Camaguey_021.jpg,"Ramón Álvarez Caballero fixes wristwatches at the train station in Camagüey, Cuba. He has been fixing watches for 26 years, previously employed by the state, and now working on his own.  Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_022.jpg,"The accountant at the train station sifts through a mountain of paperwork in her office in Camagüey, Cuba Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_023.jpg,"People stroll down busy República street in Camagüey, Cuba.  Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_024.jpg,"U.S. influence is strong in Cuba, seen on this cyclist wearing Nikes, and pants emblazoned with the American flag and dollar in Camagüey, Cuba. Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_025.jpg,"Workers make renovations to a colonial plaza in Camagüey, Cuba, with a giant tinajón, a clay pot for water, that is symbolic of the city in the center. Beautification projects across the city have made vast improvements, and the city was recently designated a UNESCO World Heritage Site. Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_026.jpg,"Nicolás Baisinde, a vendor at an outdoor market selling onions, garlic and squash, looks out from under his straw hat in Camagüey, Cuba. Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_027.jpg,"Neighborhood conversations happen through a window in Camagüey, Cuba.  Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_028.jpg,"Men deliver a cartful of green bananas to a stall in the outdoor market in Camagüey, Cuba. Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_029.jpg,"Seattle Times reporter Ángel González finds a distant relative after striking up a conversation with a bus station attendant in Camagüey, Cuba. Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_030.jpg,"Rutnelvis Rustan braids her 8-year-old daughter Dailiana Mora's hair while waiting at the bus station in Camagüey, Cuba. Monday June 27, 2016.",camaguey
Cuba_Mainbar_Camaguey_031.jpg,"A bicitaxi, similar to a pedicab, races down the street in Camagüey. Saturday June 25, 2016.",camaguey
Cuba_Mainbar_Fabrica_001.jpg,"The scene outside and inside the Fábrica de Arte Cubano in Vedado, Havana, is lively, especially as night falls. Friday June 24, 2016.",fabrica
Cuba_Mainbar_Fabrica_002.jpg,"Participants in a free tango lesson practice with partners at the Fábrica de Arte Cubano in Vedado, Havana.  Friday June 24, 2016.",fabrica
Cuba_Mainbar_Fabrica_003.jpg,"People hang out on the patio at the Fábrica de Arte Cubano, bathed in blue and purple light, in Vedado, Havana. The Fábrica &mdash; literally, Factory of Art &mdash; is a museum of contemporary art, event and performance space, nightclub, and all-around popular place for tourists and the young Cuban middle class. Friday June 24, 2016.",fabrica
Cuba_Mainbar_Fabrica_004.jpg,"People wait to enter the Fábrica de Arte Cubano, in Vedado, Havana. Cost of admission is 2 Cuban convertible pesos (the equivalent of $2 in the tourist currency) or 50 Cuban pesos. Entrants are given a card to record all of their food and drink to pay at the end. Friday June 24, 2016.",fabrica
Cuba_Mainbar_Family_001.jpg,"Seattle Times reporter Ángel González gets a hug from Livita Castillo, a distant cousin still living in Camagüey. His visit was a surprise; he was last there 15 years ago. Saturday June 25, 2016.",family
Cuba_Mainbar_Family_002.jpg,"Ángel González catches up with his family in Camagüey. They all descend from the same great-grandfather, Col. Ángel Castillo y Quesada, whose picture is on the wall to the left. He was the son of Ángel del Castillo Agramonte, the general who fell in battle fighting for independence from Spain, who has a monument in Lázaro López. Saturday June 25, 2016.",family
Cuba_Mainbar_Family_003.jpg,"A portrait of Col. Ángel Castillo y Quesada hangs on the wall of the Castillo family home in Camagüey. He was the son of Ángel del Castillo Agramonte, the general who fell in battle fighting for independence from Spain, who has a monument in Lázaro López. Saturday June 25, 2016.",family
Cuba_Mainbar_Family_004.jpg,"Haroldo Castillo, 9, still plays with the dress sword of his great-great grandfather at home in Camagüey, Cuba. In many ways, their family is still living in the history that other relatives, forced out in exile, had to leave behind. Saturday June 25, 2016.",family
